form_key;form_id;form_version;form_label;urn;type;element_label;mandatory;repeatable;position
227_1_Previous treatments;227;1;Previous treatments;urn:osse-11:record:41:1;record;13. Antibiotic prophylaxis;True;False;23
227_1_Previous treatments;227;1;Previous treatments;urn:osse-11:dataelement:180:1;dataelement;14. Antibiotic for infection (nonprophylactic);True;False;24
227_1_Previous treatments;227;1;Previous treatments;urn:osse-11:record:42:1;record;15. Corticosteroids;True;False;25
227_1_Previous treatments;227;1;Previous treatments;urn:osse-11:record:43:1;record;16. Treatments for HCC;True;False;26
227_1_Previous treatments;227;1;Previous treatments;urn:osse-11:dataelement:185:1;dataelement;17. Insulin;True;False;27
227_1_Previous treatments;227;1;Previous treatments;urn:osse-11:record:44:1;record;18. Oral antidiabetics;True;False;28
227_1_Previous treatments;227;1;Previous treatments;urn:osse-11:dataelement:188:1;dataelement;19. Statins;True;False;29
227_1_Previous treatments;227;1;Previous treatments;urn:osse-11:record:45:1;record;20. Non-bariatric surgery;True;False;30
227_1_Previous treatments;227;1;Previous treatments;urn:osse-11:record:46:1;record;21. ICU admission;True;False;31
227_1_Previous treatments;227;1;Previous treatments;urn:osse-11:dataelement:193:1;dataelement;Any drug with potential hepatotoxic effect;True;False;33
227_1_Previous treatments;227;1;Previous treatments;urn:osse-11:dataelement:195:1;dataelement;Drug with potential hepatotoxic effect;False;True;34
227_1_Previous treatments;227;1;Previous treatments;urn:osse-11:dataelement:194:1;dataelement;Any drug with potential adverse effect;True;False;36
227_1_Previous treatments;227;1;Previous treatments;urn:osse-11:dataelement:196:1;dataelement;Drug with potential adverse effect;False;True;37
227_2_Previous treatments;227;2;Previous treatments;urn:osse-11:dataelement:112:1;dataelement;Time prior to Hospital Study Admission;True;False;1
227_2_Previous treatments;227;2;Previous treatments;urn:osse-11:record:31:1;record;1. Alcoholic cirrhosis;True;False;3
227_2_Previous treatments;227;2;Previous treatments;urn:osse-11:record:32:1;record;2. Hepatitis C virus antiviral therapy;True;False;4
227_2_Previous treatments;227;2;Previous treatments;urn:osse-11:record:33:1;record;3. Hepatitis B virus antiviral therapy;True;False;5
227_2_Previous treatments;227;2;Previous treatments;urn:osse-11:record:34:1;record;4.NAFLD/NASH;True;False;6
227_2_Previous treatments;227;2;Previous treatments;urn:osse-11:record:35:1;record;5. Autoimmune hepatitis treatment;True;False;7
227_2_Previous treatments;227;2;Previous treatments;urn:osse-11:dataelement:158:1;dataelement;6. Other type of cirrhosis;True;False;8
227_2_Previous treatments;227;2;Previous treatments;urn:osse-11:dataelement:159:1;dataelement;7. Continuous treatment;True;False;9
227_2_Previous treatments;227;2;Previous treatments;urn:osse-11:record:36:1;record;1. Diuretics;True;False;11
227_2_Previous treatments;227;2;Previous treatments;urn:osse-11:dataelement:162:1;dataelement;2. Therapeutic paracentesis;True;False;12
227_2_Previous treatments;227;2;Previous treatments;urn:osse-11:record:37:1;record;3. Beta-blockers;True;False;13
227_2_Previous treatments;227;2;Previous treatments;urn:osse-11:record:38:1;record;4. Intravenous albumin;True;False;14
227_2_Previous treatments;227;2;Previous treatments;urn:osse-11:record:39:1;record;5. Vasopressors;True;False;15
227_2_Previous treatments;227;2;Previous treatments;urn:osse-11:dataelement:169:1;dataelement;6. Renal replacement treatment;True;False;16
227_2_Previous treatments;227;2;Previous treatments;urn:osse-11:dataelement:170:1;dataelement;7. Artificial liver support;True;False;17
227_2_Previous treatments;227;2;Previous treatments;urn:osse-11:dataelement:171:1;dataelement;8. Omeprazol or other PPI;True;False;18
227_2_Previous treatments;227;2;Previous treatments;urn:osse-11:dataelement:172:1;dataelement;9. Endoscopic therapy of bleeding;True;False;19
227_2_Previous treatments;227;2;Previous treatments;urn:osse-11:dataelement:173:1;dataelement;10. Lactulose;True;False;20
227_2_Previous treatments;227;2;Previous treatments;urn:osse-11:dataelement:174:1;dataelement;11. Rifaximin for HE;True;False;21
227_2_Previous treatments;227;2;Previous treatments;urn:osse-11:record:40:1;record;12. TIPS;True;False;22
227_2_Previous treatments;227;2;Previous treatments;urn:osse-11:record:41:1;record;13. Antibiotic prophylaxis;True;False;23
227_2_Previous treatments;227;2;Previous treatments;urn:osse-11:dataelement:180:1;dataelement;14. Antibiotic for infection (nonprophylactic);True;False;24
227_2_Previous treatments;227;2;Previous treatments;urn:osse-11:record:42:1;record;15. Corticosteroids;True;False;25
227_2_Previous treatments;227;2;Previous treatments;urn:osse-11:record:43:1;record;16. Treatments for HCC;True;False;26
